Subject,Filename,Page,Rule ID,Type,Issue,Message,Suggestions,Highlighted Context
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,118,MORFOLOGIK_RULE_EN_GB,misspelling,Scaredy,Possible spelling mistake found.,Scared,"...ow. Kingshaw stepped back as he came.  ""**Scaredy**!""  ""No.""   ""When my father dies,"" Hoope..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,120,MORFOLOGIK_RULE_EN_GB,misspelling,Labor,Possible spelling mistake. ‘Labor’ is American English.,Labour,...untries established the *[International **Labor**](http://hrlibrary.umn.edu/edumat/hredus...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,122,MORFOLOGIK_RULE_EN_GB,misspelling,Ayisha,Possible spelling mistake found.,"Aisha, Alisha, Anisha (+1 more)","...on the Carers Trust website  My name is **Ayisha**, I'm 16 and I care for my younger broth..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,122,MORFOLOGIK_RULE_EN_GB,misspelling,Shayaan,Possible spelling mistake found.,"Shaman, Shavian, Shaban (+7 more)",...'m 16 and I care for my younger brother **Shayaan** who is 9 years old and has severe autis...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,131,MORFOLOGIK_RULE_EN_GB,misspelling,soundsensing,Possible spelling mistake found.,sound sensing,"...nside our ears), there are thousands of **soundsensing** cells called 'hair cells'. These tiny c..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,134,MORFOLOGIK_RULE_EN_GB,misspelling,Lanning,Possible spelling mistake found.,"Landing, Planning, Banning (+11 more)","... was unprepared. From the moment of Dr. **Lanning**'s first phone call on March 3, he had f..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,139,MORFOLOGIK_RULE_EN_GB,misspelling,Corrigan,Possible spelling mistake found.,"Carrigan, Mórrígan",...2022*  ### Extract 4 (novel)  The Maeve **Corrigan** lifeboat met the first waves at the end...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,140,MORFOLOGIK_RULE_EN_GB,misspelling,selfcongratulatory,Possible spelling mistake found.,"self-congratulatory, self congratulatory",...f the feeling that it was all a bit too **selfcongratulatory**.  Voluntourism almost always involves a...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,140,MORFOLOGIK_RULE_EN_GB,misspelling,headscratching,Possible spelling mistake found.,head scratching,"...unate in developing countries, and much **headscratching** and soul-searching follows.  Recently S..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,141,MORFOLOGIK_RULE_EN_GB,misspelling,Voluntourists,Possible spelling mistake found.,Voluntarists,"..., ambitious people to help them along. '**Voluntourists**' they may be – but their work can have ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,145,MORFOLOGIK_RULE_EN_GB,misspelling,treeclimbing,Possible spelling mistake found.,tree climbing,"...ctivities like rope-climbing in PE, and **treeclimbing** for fun. These activities boosted child..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,145,MORFOLOGIK_RULE_EN_GB,misspelling,bodyweight,Possible spelling mistake found.,body weight,...ng them able to lift and hold their own **bodyweight**. Previous research has already shown th...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,148,MORFOLOGIK_RULE_EN_GB,misspelling,Fairtradecertified,Possible spelling mistake found.,,"... good roads or bridges. Now that we are **Fairtradecertified**, prices are stable and we receive a gua..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,151,MORFOLOGIK_RULE_EN_GB,misspelling,Whaite,Possible spelling mistake found.,"White, Waite",...is taken from the introduction to 'John **Whaite** Bakes: Recipes for Every Day and Every ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,153,MORFOLOGIK_RULE_EN_GB,misspelling,Willingdon,Possible spelling mistake found.,Hillingdon,...e under which he had been exhibited was **Willingdon** Beauty) was so highly regarded on the f...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,154,MORFOLOGIK_RULE_EN_GB,misspelling,Mansell,Possible spelling mistake found.,"Ansell, Mandell, Mantell (+5 more)","...named him after the racing driver Nigel **Mansell**. I watched him for several minutes, and..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,156,MORFOLOGIK_RULE_EN_GB,misspelling,Maquita,Possible spelling mistake found.,"Marquita, MIQUITA, Miquita",... by the host of the programme. Andi and **Maquita** talk about their relationship and their...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,157,MORFOLOGIK_RULE_EN_GB,misspelling,RNLI,Possible spelling mistake found.,"RLI, RNIL, RN LI (+1 more)","...ened. The owlish face of Dickerson, the **RNLI** secretary peered round at them. 'Good g..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,157,MORFOLOGIK_RULE_EN_GB,misspelling,wellconstructed,Possible spelling mistake found.,"well-constructed, well constructed",...otential with careful training and good **wellconstructed** boats.' 'But there is danger?' she chal...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,158,MORFOLOGIK_RULE_EN_GB,misspelling,Levon,Possible spelling mistake found.,"Devon, Leon, Lemon (+7 more)","...te tornado. It was the first time I saw **Levon** Helm, and I'd never seen anything like ..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,161,MORFOLOGIK_RULE_EN_GB,misspelling,Christophine,Possible spelling mistake found.,"Christophe, Christophany","...scene where Antoinette is speaking with **Christophine**, who often speaks in a casual, direct t..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,163,MORFOLOGIK_RULE_EN_GB,misspelling,Ooo,Possible spelling mistake found.,"OOO, Too, Zoo (+1110 more)","... What's that, Seren? You got your lion? **Ooo**, so fierce! Can you show Daddy your big..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,165,MORFOLOGIK_RULE_EN_GB,misspelling,Milward,Possible spelling mistake found.,"Millard, Millward",...va Smith  ↓  Sheila gets Eva fired from **Milward**'s  ↓  Gerald has an affair with Eva  ↓ ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,171,MORFOLOGIK_RULE_EN_GB,misspelling,Pemberley,Possible spelling mistake found.,"Kimberley, Amberley",...der her feelings toward him. She visits **Pemberley** and sees*   *Darcy in a new light.*  *R...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,173,MORFOLOGIK_RULE_EN_GB,misspelling,tard,Possible spelling mistake found.,"hard, card, yard (+31 more)",...ng or speeches. 'Rosie Jones: Am I a R\***tard**? review – a truly shocking tale of the ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,178,MORFOLOGIK_RULE_EN_GB,misspelling,Synaesthesia,Possible spelling mistake found.,"Anaesthesia, Kinaesthesia, Synaesthetic",...literation - A dash - Personification - **Synaesthesia**  ### **Example piece**  The garden shim...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,178,MORFOLOGIK_RULE_EN_GB,misspelling,jeweler,Possible spelling mistake. ‘jeweler’ is American English.,jeweller,...ars winked like diamonds scattered on a **jeweler**'s cloth. Festoon lights looped lazily b...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,180,MORFOLOGIK_RULE_EN_GB,misspelling,Ioan,Possible spelling mistake found.,"Loan, Iran, Ion (+18 more)",...-------------------  ### **Example 2**  **Ioan** was nervous on his first day at work. H...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,180,MORFOLOGIK_RULE_EN_GB,misspelling,Trystan,Possible spelling mistake found.,"Tristan, Tryst an",...lly done.  ### **Example 4**  Carys and **Trystan** were hiking in the mountains. The weath...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,180,MORFOLOGIK_RULE_EN_GB,misspelling,Skirrid,Possible spelling mistake found.,"Stirred, Skirted, Sigrid (+5 more)",...'showing'.  ### **Travel Article**  The **Skirrid** Inn is a very old and interesting place...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,180,MORFOLOGIK_RULE_EN_GB,misspelling,cozy,Possible spelling mistake. ‘cozy’ is American English.,cosy,"... a walk and relax. The inn itself has a **cozy** atmosphere, and the staff are very frie..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,185,MORFOLOGIK_RULE_EN_GB,misspelling,longdistance,Possible spelling mistake found.,"long-distance, long distance",...easingly difficult for people to afford **longdistance** trips. People are finding that staying ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,187,MORFOLOGIK_RULE_EN_GB,misspelling,Baskervilles,Possible spelling mistake found.,"Baskerville's, Baskerville","...heir own pieces:  ### *The Hound of the **Baskervilles***  ""A hound it was, an enormous coal-bla..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,188,MORFOLOGIK_RULE_EN_GB,misspelling,Chelmer,Possible spelling mistake found.,Hélmer,...habitants Names Essex Chelmsford on the **Chelmer** The Yorkshire and Lincolnshire wolds Wo...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,bbbet,Possible spelling mistake found.,"abbey, Tibet, abbot (+38 more)",... write his apologies on the way down  I **bbbet** he wrwrwrote them on his dddeathbed a p...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,wrwrwrote,Possible spelling mistake found.,"rewrote, overwrote, freewrote (+3 more)",...s apologies on the way down  I bbbet he **wrwrwrote** them on his dddeathbed a punter cackles...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,dddeathbed,Possible spelling mistake found.,deathbed,... down  I bbbet he wrwrwrote them on his **dddeathbed** a punter cackles  Through the rock n ro...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,Maxa,Possible spelling mistake found.,"Max, Maya, Taxa (+17 more)",...e Berlin hears someone calling his name **Maxa** tiri he asks as Mahmood Mattan pushes t...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,tiri,Possible spelling mistake found.,"tire, Teri, tiki (+7 more)",...lin hears someone calling his name Maxa **tiri** he asks as Mahmood Mattan pushes throug...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,Mattan,Possible spelling mistake found.,"Rattan, Mat tan, Matt an",...g his name Maxa tiri he asks as Mahmood **Mattan** pushes through the crowd at the bar  I ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,Tahir,Possible spelling mistake found.,"Tapir, Zahir",...ir eyes on his long elegant fingers but **Tahir** Gass who was only recently released fro...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,189,MORFOLOGIK_RULE_EN_GB,misspelling,Gass,Possible spelling mistake found.,"Gas, Mass, Pass (+31 more)",...s on his long elegant fingers but Tahir **Gass** who was only recently released from Whi...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,190,MORFOLOGIK_RULE_EN_GB,misspelling,Portmeirion,Possible spelling mistake found.,,"...--------------------------------  ### ****Portmeirion**, Gwynedd**  Portmeirion is unlike any o..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,198,MORFOLOGIK_RULE_EN_GB,misspelling,Nonverbal,Possible spelling mistake found.,Non-verbal,"...y to achieve their intended effect. | | **Nonverbal** cues | Body language, eye contact and g..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,198,MORFOLOGIK_RULE_EN_GB,misspelling,nonverbal,Possible spelling mistake found.,non-verbal,...te to the speaker's presence. Assertive **nonverbal** communication can reinforce the verbal ...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,198,MORFOLOGIK_RULE_EN_GB,misspelling,likability,Possible spelling mistake found.,"liability, livability, likeability",...rity. | | Charisma | Personal charm and **likability** can amplify a speaker's influence. Char...
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,200,MORFOLOGIK_RULE_EN_GB,misspelling,selfesteem,Possible spelling mistake found.,"self-esteem, self esteem","... wealth – whereas his wife is driven by **selfesteem**, and the desire for respect and recogni..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,215,MORFOLOGIK_RULE_EN_GB,misspelling,yolo,Possible spelling mistake found.,"YOLO, solo, polo (+282 more)","...ntained underwater breathing apparatus, **yolo** = you only live once. |  | | clipping |..."
English-Language-and-Literature,gcse-english-language-and-literature---guidance-for-teaching.md,216,MORFOLOGIK_RULE_EN_GB,misspelling,hangry,Possible spelling mistake found.,"angry, hungry","... existing words or parts of words. e.g. **hangry**, mansplain. | | obsolete / archaic term..."
